,r,g,b,eccentricity
0,0.2550335570469799,0.1912751677852349,0.5536912751677853,0.8628885043168733
1,0.27873563218390807,0.3045977011494253,0.4166666666666667,0.6924176431244808
2,0.2492836676217765,0.2722063037249284,0.4785100286532951,0.7738095346559053
3,0.2752941176470588,0.28941176470588237,0.43529411764705883,0.6426601915564303
4,0.2396088019559902,0.2591687041564792,0.5012224938875306,0.49147176188286734
5,0.26153846153846155,0.07692307692307693,0.6615384615384615,0.6885795923331727
6,0.2703488372093023,0.2063953488372093,0.5232558139534884,0.8730785144350649
7,0.3151183970856102,0.31693989071038253,0.3679417122040073,0.6655222783449348
8,0.2742857142857143,0.2914285714285714,0.4342857142857143,0.6882799944081103
9,0.3274336283185841,0.11504424778761062,0.5575221238938053,0.5822872373178158
10,0.3096446700507614,0.31810490693739424,0.37225042301184436,0.7633401905716001
11,0.24181360201511334,0.26700251889168763,0.491183879093199,0.6421956426408096
12,0.31751227495908346,0.32569558101472995,0.3567921440261866,0.6276397983812544
13,0.2596899224806202,0.13953488372093023,0.6007751937984496,0.731061453210254
14,0.27586206896551724,0.13793103448275862,0.5862068965517241,0.5201359838505079
15,0.23837209302325582,0.11627906976744186,0.6453488372093024,0.32757146481622623
16,0.32954545454545453,0.3314393939393939,0.3390151515151515,0.7327700869326345
17,0.25157232704402516,0.2557651991614256,0.49266247379454925,0.6041465456179481
18,0.2894736842105263,0.3140350877192982,0.39649122807017545,0.561427980362726
19,0.27899686520376177,0.18495297805642633,0.5360501567398119,0.43151656951216216
20,0.2715736040609137,0.2639593908629442,0.46446700507614214,0.5594107494171303
21,0.23728813559322035,0.1864406779661017,0.576271186440678,0.45802554373897536
22,0.30870279146141216,0.33004926108374383,0.361247947454844,0.5828624956840867
23,0.22149837133550487,0.21498371335504887,0.5635179153094463,0.6484476785695932
24,0.3063063063063063,0.27927927927927926,0.4144144144144144,0.6282953426765391
25,0.2648648648648649,0.23243243243243245,0.5027027027027027,0.8082249696538796
26,0.3170391061452514,0.32821229050279327,0.3547486033519553,0.6194436147191241
27,0.3314203730272597,0.3385939741750359,0.3299856527977044,0.8457602320042982
28,0.2918287937743191,0.3035019455252918,0.4046692607003891,0.9049428261328396
